,Accuracy,Precision,Recall,F1-Score,Support
O,0.7147121535181237,0.8906086408543642,0.7054785343201238,0.7632510317039304,14.357
B-LOCATION,0.4695121951219512,0.12012943722943722,0.15750238095238098,0.12953904151404158,0.508
I-LOCATION,0.08235294117647059,0.005666666666666667,0.005833333333333334,0.0055000000000000005,0.09
B-PERSON,0.5073891625615764,0.10665325091575087,0.16571190476190478,0.12235347316082625,0.416
I-PERSON,0.25116279069767444,0.028753968253968254,0.03719444444444445,0.02951601731601732,0.218
B-ORGANIZATION,0.3333333333333333,0.022976190476190473,0.03,0.024816666666666667,0.106
I-ORGANIZATION,0.1566265060240964,0.00775,0.007166666666666667,0.006804761904761905,0.085
B-GPE,0.0,0.0,0.0,0.0,0.012
I-GPE,0.0,0.0,0.0,0.0,0.002
B-TITLE,0.019756838905775075,0.014833333333333334,0.01395,0.013052020202020202,1.353
I-TITLE,0.008571428571428572,0.0021666666666666666,0.0011666666666666665,0.001388888888888889,0.359
B-LANGUAGE,0.0,0.0,0.0,0.0,0.0
I-LANGUAGE,0.0,0.0,0.0,0.0,0.0
B-EVENT,0.0,0.0,0.0,0.0,0.005
I-EVENT,0.0,0.0,0.0,0.0,0.019
B-WORK_OF_ART,0.0,0.0,0.0,0.0,0.001
I-WORK_OF_ART,0.0,0.0,0.0,0.0,0.001
B-DATE,0.7647058823529411,0.007499999999999999,0.012,0.008766666666666667,0.017
I-DATE,0.0,0.0,0.0,0.0,0.015
