,Accuracy,Precision,Recall,F1-Score,Support
O,0.897939580231497,0.8876989106607808,0.8636479285680546,0.8656971089247155,20.821
B-LOCATION,0.4921259842519685,0.12020833333333333,0.17620476190476192,0.1314209235209237,0.508
I-LOCATION,0.26666666666666666,0.015349999999999999,0.01633333333333333,0.014954761904761906,0.09
B-PERSON,0.28125,0.0827595238095238,0.09380952380952381,0.08495476190476194,0.416
I-PERSON,0.3577981651376147,0.050292857142857146,0.058611111111111114,0.05269642857142857,0.218
B-ORGANIZATION,0.16037735849056603,0.014083333333333333,0.015,0.014166666666666666,0.106
I-ORGANIZATION,0.08235294117647059,0.0065,0.00625,0.006066666666666667,0.085
B-GPE,0.0,0.0,0.0,0.0,0.012
I-GPE,0.0,0.0,0.0,0.0,0.002
B-TITLE,0.027346637102734665,0.023916666666666666,0.015745238095238097,0.017985714285714285,1.353
I-TITLE,0.04178272980501393,0.0057,0.0045,0.004556862745098039,0.359
B-LANGUAGE,0.0,0.0,0.0,0.0,0.0
I-LANGUAGE,0.0,0.0,0.0,0.0,0.0
B-EVENT,0.4,0.0015,0.0015,0.0015,0.005
I-EVENT,0.47368421052631576,0.002,0.002,0.002,0.019
B-WORK_OF_ART,0.0,0.0,0.0,0.0,0.001
I-WORK_OF_ART,0.0,0.0,0.0,0.0,0.001
B-DATE,0.11764705882352941,0.0015,0.002,0.0016666666666666666,0.017
I-DATE,0.2,0.001,0.0005,0.0006666666666666666,0.015
