,Accuracy,Precision,Recall,F1-Score,Support
O,0.9115693156179494,0.7927353320812759,0.9716597713170134,0.8583288341781647,22.06081081081081
B-LOCATION,0.029177718832891247,0.004717729312323907,0.012162162162162163,0.006028873970050441,0.5094594594594595
I-LOCATION,0.015873015873015872,0.0013513513513513514,0.0013513513513513514,0.0013513513513513514,0.08513513513513514
B-PERSON,0.0,0.0,0.0,0.0,0.44324324324324327
I-PERSON,0.0,0.0,0.0,0.0,0.22432432432432434
B-ORGANIZATION,0.0,0.0,0.0,0.0,0.10675675675675676
I-ORGANIZATION,0.0,0.0,0.0,0.0,0.08513513513513514
B-TITLE,0.002053388090349076,0.000679859425989457,0.002027027027027027,0.0006840173506840174,1.3175675675675675
I-TITLE,0.0,0.0,0.0,0.0,0.32297297297297295
B-DATE,0.0,0.0,0.0,0.0,0.016216216216216217
I-DATE,0.0,0.0,0.0,0.0,0.014864864864864866
