,Accuracy,Precision,Recall,F1-Score,Support
O,1.0,0.7861708201550932,1.0,0.8705139579295105,13.986842105263158
B-LOCATION,0.0,0.0,0.0,0.0,0.5296052631578947
I-LOCATION,0.0,0.0,0.0,0.0,0.10526315789473684
B-PERSON,0.0,0.0,0.0,0.0,0.506578947368421
I-PERSON,0.0,0.0,0.0,0.0,0.24342105263157895
B-ORGANIZATION,0.0,0.0,0.0,0.0,0.1118421052631579
I-ORGANIZATION,0.0,0.0,0.0,0.0,0.08223684210526316
B-TITLE,0.0,0.0,0.0,0.0,1.4013157894736843
I-TITLE,0.0,0.0,0.0,0.0,0.34210526315789475
B-DATE,0.0,0.0,0.0,0.0,0.003289473684210526
I-DATE,0.0,0.0,0.0,0.0,0.0
