,Accuracy,Precision,Recall,F1-Score,Support
O,0.7227788911155645,0.9049858536787716,0.7289219854157897,0.7811432780922211,15.31
B-LOCATION,0.5846153846153846,0.15376190476190474,0.21333333333333332,0.1680714285714286,0.67
I-LOCATION,0.2,0.02,0.02,0.02,0.11
B-PERSON,0.6,0.15525,0.235,0.17407936507936506,0.41
I-PERSON,0.5,0.0575,0.07,0.06066666666666667,0.16
B-ORGANIZATION,0.45454545454545453,0.0375,0.05,0.04066666666666666,0.11
I-ORGANIZATION,0.5,0.01,0.01,0.01,0.04
B-GPE,0.0,0.0,0.0,0.0,0.0
I-GPE,0.0,0.0,0.0,0.0,0.0
B-TITLE,0.030534351145038167,0.016666666666666666,0.02,0.018000000000000002,1.37
I-TITLE,0.0,0.0,0.0,0.0,0.32
B-LANGUAGE,0.0,0.0,0.0,0.0,0.0
I-LANGUAGE,0.0,0.0,0.0,0.0,0.0
B-EVENT,0.0,0.0,0.0,0.0,0.0
I-EVENT,0.0,0.0,0.0,0.0,0.0
B-WORK_OF_ART,0.0,0.0,0.0,0.0,0.0
I-WORK_OF_ART,0.0,0.0,0.0,0.0,0.0
B-DATE,0.0,0.0,0.0,0.0,0.0
I-DATE,0.0,0.0,0.0,0.0,0.0
