Sentence #	Word	Tag
Sentence: 0	Dallas	B-LOCATION
Sentence: 0	'a	O
Sentence: 0	gidiş	O
Sentence: 0	dönüş	O
Sentence: 0	yolculuk	O
Sentence: 0	yapmak	O
Sentence: 0	istiyorum	O
Sentence: 1	philadelphia	B-LOCATION
Sentence: 1	'ye	O
Sentence: 1	gidiş	O
Sentence: 1	dönüş	O
Sentence: 1	ücretleri	O
Sentence: 1	1000	B-MONEY
Sentence: 1	dolardan	O
Sentence: 1	az	O
Sentence: 1	philadelphia	B-LOCATION
Sentence: 1	'ye	O
Sentence: 1	gidiş	O
Sentence: 1	dönüş	O
Sentence: 1	seferleri	O
Sentence: 1	pittsburgh	O
Sentence: 1	'dan	O
Sentence: 1	1000	B-MONEY
Sentence: 1	dolardan	O
Sentence: 1	az	O
Sentence: 1	gidiş	O
Sentence: 1	dönüş	O
Sentence: 1	ücretleri	O
Sentence: 2	on	B-DATE
Sentence: 2	dördüncü	I-DATE
Sentence: 2	Haziran	B-DATE
Sentence: 2	ayındaki	O
Sentence: 2	baltimore	B-LOCATION
Sentence: 2	'a	O
Sentence: 2	gelen	O
Sentence: 2	uçuşları	O
Sentence: 2	göster	O
Sentence: 3	San	B-LOCATION
Sentence: 3	Francisco	O
Sentence: 3	'dan	O
Sentence: 3	kalkan	O
Sentence: 3	uçuşlar	O
Sentence: 3	Indianapolis	B-LOCATION
Sentence: 3	üzerinden	O
Sentence: 3	Washington	B-LOCATION
Sentence: 3	'a	O
Sentence: 3	uçuyor	O
Sentence: 3	ve	O
Sentence: 3	akşam	B-TIME
Sentence: 3	9	O
Sentence: 3	'	O
Sentence: 3	da	O
Sentence: 3	geliyor	O
Sentence: 3	.	O
Sentence: 4	Hangi	O
Sentence: 4	havayolları	O
Sentence: 4	washington	B-LOCATION
Sentence: 4	dc	B-LOCATION
Sentence: 4	'ye	O
Sentence: 4	diğer	O
Sentence: 4	şehirler	O
Sentence: 4	üzerinden	O
Sentence: 4	uçuyor	O
Sentence: 5	las	B-LOCATION
Sentence: 5	vegas	O
Sentence: 5	'a	O
Sentence: 5	st.	B-LOCATION
Sentence: 5	louis	I-LOCATION
Sentence: 5	umarım	O
Sentence: 5	bir	O
Sentence: 5	akşam	O
Sentence: 5	yemeği	O
Sentence: 5	uçuşu	O
Sentence: 5	nasıl	O
Sentence: 5	bulabilirim	O
Sentence: 6	tamam	O
Sentence: 6	ve	O
Sentence: 6	sonra	O
Sentence: 6	dördüncü	B-DATE
Sentence: 6	eylülde	B-DATE
Sentence: 6	atlanta	B-LOCATION
Sentence: 6	'ya	O
Sentence: 6	seyahat	O
Sentence: 6	etmek	O
Sentence: 6	istiyorum	O
Sentence: 7	philadelphia	B-LOCATION
Sentence: 7	-	O
Sentence: 7	cincinnati	B-LOCATION
Sentence: 7	arasındaki	O
Sentence: 7	tüm	O
Sentence: 7	uçuşları	O
Sentence: 7	göster	O
Sentence: 8	tamam	O
Sentence: 8	bize	O
Sentence: 8	öğleden	O
Sentence: 8	sonra	O
Sentence: 8	San	B-LOCATION
Sentence: 8	Diego	O
Sentence: 8	'ya	O
Sentence: 8	bir	O
Sentence: 8	uçakla	O
Sentence: 8	uçmak	O
Sentence: 8	istiyorum	O
Sentence: 8	.	O
Sentence: 9	salı	B-DATE
Sentence: 9	günü	O
Sentence: 9	hangi	O
Sentence: 9	uçuşlar	O
Sentence: 9	st.	B-LOCATION
Sentence: 9	paul	I-LOCATION
Sentence: 9	minnesota	B-LOCATION
Sentence: 9	ve	O
Sentence: 9	öğleden	B-TIME
Sentence: 9	sonra	O
Sentence: 9	ayrılmak	O
Sentence: 10	amerikan	B-ORGANIZATION
Sentence: 10	los	B-LOCATION
Sentence: 10	angeles	O
Sentence: 10	'a	O
Sentence: 10	sabah	O
Sentence: 10	uçuşları	O
Sentence: 11	san	B-ORGANIZATION
Sentence: 11	francisco	I-ORGANIZATION
Sentence: 11	havaalanına	O
Sentence: 11	ne	O
Sentence: 11	tür	O
Sentence: 11	karayolu	O
Sentence: 11	taşımacılığı	O
Sentence: 11	var	O
Sentence: 12	önümüzdeki	O
Sentence: 12	iki	O
Sentence: 12	gün	O
Sentence: 12	içinde	O
Sentence: 12	San	B-LOCATION
Sentence: 12	Jose	O
Sentence: 12	'ye	O
Sentence: 12	veya	O
Sentence: 12	Tacoma	B-LOCATION
Sentence: 12	'ya	O
Sentence: 12	uçmak	O
Sentence: 12	istiyorum	O
Sentence: 12	.	O
Sentence: 13	Continental	B-ORGANIZATION
Sentence: 13	havayolları	I-ORGANIZATION
Sentence: 13	san	B-LOCATION
Sentence: 13	francisco	O
Sentence: 13	'ya	O
Sentence: 13	uçuyor	O
Sentence: 13	mu	O
Sentence: 13	?	O
